INSTANCE_NAME,IP,MACHINE_TYPE,CPU,MEMORY,DISK,STATUS,PROJECT,ENV,ENGAGEMENT,COST_CENTER,Running_hours
voting1-rabbitmq,10.3.3.15,e2-medium,2,4.0 GB,30 GB,RUNNING,jioengage,prod,bigboss,brand-prod,720
voting1-redis-1,10.3.4.25,e2-small,2,2.0 GB,30 GB,RUNNING,jioengage,prod,bigboss,brand-prod,720
voting1-redis-2,10.3.4.26,e2-custom-2-4096,2,4.0 GB,30 GB,RUNNING,jioengage,prod,bigboss,brand-prod,720
watchparty-engage-appserver-1,10.3.17.184,n2-custom-2-4096,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,watchparty,bigticket-prod,720
watchparty-engage-appserver-2,10.3.16.3,n2-custom-2-4096,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,watchparty,bigticket-prod,720
watchparty-engage-mongo-master,10.3.1.38,n2-standard-4,4,16.0 GB,100 GB,RUNNING,jioengage,prod,watchparty,bigticket-prod,720
watchparty-engage-mongo-replica,10.3.1.39,n2-standard-4,4,16.0 GB,100 GB,RUNNING,jioengage,prod,watchparty,bigticket-prod,720
watchparty-engage-prod-redis,10.3.4.34,n2-custom-2-4096,2,4.0 GB,30 GB,RUNNING,jioengage,prod,watchparty,bigticket-prod,720
watchparty-engage-rabbitmq,10.3.3.22,n2-highcpu-2,2,2.0 GB,50 GB,RUNNING,jioengage,prod,watchparty,bigticket-prod,720
watchparty-poc-appserver-1,10.3.16.57,n2-custom-2-4096,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,watchparty,bigticket-prod,720
watchparty-poc-appserver-2,10.3.16.58,n2-custom-2-4096,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,watchparty,bigticket-prod,720
watchparty-poc-mongo-master,10.3.1.40,n2-standard-8,8,32.0 GB,100 GB,RUNNING,jioengage,prod,watchparty,bigticket-prod,720
watchparty-poc-mongo-replica,10.3.1.41,n2-standard-4,4,16.0 GB,100 GB,RUNNING,jioengage,prod,watchparty,bigticket-prod,720
watchparty-poc-rabbitmq,10.3.3.25,n2-highcpu-2,2,2.0 GB,50 GB,RUNNING,jioengage,prod,watchparty,bigticket-prod,720
watchparty-poc-redis,10.3.4.40,n2-custom-2-4096,2,4.0 GB,30 GB,RUNNING,jioengage,prod,watchparty,bigticket-prod,720
xp-dev,10.2.3.11,e2-medium,2,4.0 GB,30 GB,RUNNING,jioengage,dev,profile,bigticket-dev,308
